Number,Latit,Long,Time,Marsh
2436,55.784548,49.233458,26.10.2020 13:14:38,18
2436,55.78889,49.225117,26.10.2020 13:16:37,18
2436,55.791602,49.225858,26.10.2020 13:17:52,18
2436,55.792518,49.229573,26.10.2020 13:20:38,18
2436,55.792518,49.229573,26.10.2020 13:21:38,18
2436,55.792518,49.229573,26.10.2020 13:22:37,18
2436,55.792518,49.229573,26.10.2020 13:23:38,18
2436,55.791992,49.226648,26.10.2020 13:24:53,18
2436,55.790035,49.22468,26.10.2020 13:25:37,18
2436,55.789327,49.224695,26.10.2020 13:26:38,18
2436,55.788658,49.227517,26.10.2020 13:27:49,18
2436,55.787453,49.230355,26.10.2020 13:28:37,18
2436,55.784438,49.233368,26.10.2020 13:29:38,18
2436,55.781863,49.235795,26.10.2020 13:30:36,18
2436,55.780478,49.236063,26.10.2020 13:31:38,18
2436,55.7788,49.236,26.10.2020 13:32:37,18
2436,55.776137,49.233395,26.10.2020 13:33:38,18
2436,55.776015,49.231702,26.10.2020 13:34:54,18
2436,55.773897,49.23164,26.10.2020 13:35:37,18
2436,55.771622,49.23158,26.10.2020 13:36:38,18
2436,55.76937,49.231665,26.10.2020 13:37:38,18
2436,55.76537,49.23162,26.10.2020 13:39:38,18
2436,55.762543,49.231513,26.10.2020 13:40:38,18
2436,55.760877,49.231595,26.10.2020 13:41:37,18
2436,55.756663,49.231372,26.10.2020 13:42:38,18
2436,55.752127,49.230063,26.10.2020 13:44:51,18
2436,55.751175,49.228145,26.10.2020 13:45:37,18
2436,55.749188,49.22455,26.10.2020 13:46:38,18
2436,55.74804,49.222422,26.10.2020 13:47:38,18
2436,55.745847,49.21834,26.10.2020 13:48:37,18
2436,55.74733,49.213737,26.10.2020 13:49:38,18
2436,55.74802,49.212668,26.10.2020 13:50:38,18
2436,55.751672,49.20631,26.10.2020 13:51:37,18
2436,55.753825,49.202708,26.10.2020 13:52:38,18
2436,55.75613,49.198758,26.10.2020 13:53:38,18
2436,55.756397,49.198253,26.10.2020 13:54:37,18
2436,55.759028,49.193705,26.10.2020 13:55:47,18
2436,55.759965,49.192317,26.10.2020 13:56:38,18
2436,55.76125,49.19,26.10.2020 13:57:37,18
2436,55.76433,49.18478,26.10.2020 13:58:53,18
2436,55.766443,49.1808,26.10.2020 13:59:38,18
2436,55.768375,49.17826,26.10.2020 14:00:38,18
2436,55.770312,49.176717,26.10.2020 14:01:37,18
2436,55.772922,49.17546,26.10.2020 14:02:38,18
2436,55.776833,49.174462,26.10.2020 14:03:38,18
2436,55.779795,49.17236,26.10.2020 14:04:37,18
2436,55.782727,49.170897,26.10.2020 14:05:38,18
2436,55.785943,49.171213,26.10.2020 14:06:38,18
2436,55.78696,49.171298,26.10.2020 14:07:37,18
2436,55.788015,49.17132,26.10.2020 14:08:52,18
2436,55.791993,49.17162,26.10.2020 14:09:38,18
2436,55.793037,49.171712,26.10.2020 14:10:37,18
2436,55.793037,49.171712,26.10.2020 14:11:38,18
2436,55.794808,49.17303,26.10.2020 14:12:38,18
2436,55.797418,49.176795,26.10.2020 14:13:37,18
2436,55.801113,49.182987,26.10.2020 14:14:38,18
2436,55.802197,49.185093,26.10.2020 14:15:52,18
2436,55.835403,49.14747,26.10.2020 14:32:51,18
2436,55.835988,49.147327,26.10.2020 14:33:45,18
2436,55.836093,49.146237,26.10.2020 14:34:38,18
2436,55.836057,49.138197,26.10.2020 14:36:37,18
2436,55.836035,49.134552,26.10.2020 14:37:38,18
2436,55.836037,49.130842,26.10.2020 14:38:38,18
2436,55.836033,49.12539,26.10.2020 14:39:37,18
2436,55.836057,49.120183,26.10.2020 14:40:38,18
2436,55.836067,49.112323,26.10.2020 14:41:38,18
